danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_uri,name,mode_major,mode_minor
0.624,0.459,8,-6.035,0.0321,0.102,0.0,0.117,0.122,119.048,4,59krMPfRgjLYmAkVA2gHl4,Cold Showers,1,0
0.75,0.365,7,-6.741,0.0372,0.202,0.0082,0.122,0.101,89.981,4,14KP6cmTImZmrcAC5m0Azd,Call Me Back,1,0
0.423,0.587,6,-6.635,0.529,0.765,0.0,0.114,0.33,180.331,4,1qyFlfPREPbRcS2BNszdYI,Dreams Money Can Buy,1,0
0.421,0.539,11,-5.456,0.274,0.779,0.0,0.111,0.523,89.177,3,4Wjhj0WjkyECccfHVIgaTq,Trust Issues,0,1
0.806,0.558,9,-6.46,0.0683,0.482,0.0,0.0618,0.678,95.016,4,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",1,0
0.543,0.673,0,-6.406,0.379,0.338,0.0,0.212,0.52,76.852,4,7Eha3JBkA7xsMUEXng7lUP,We Gon Make It (feat. Meek Mill),1,0
0.732,0.464,7,-8.591,0.301,0.309,0.0,0.107,0.353,82.494,4,5yK37zazHUe3WxEvymZs20,Bad Idea (feat. Chance the Rapper),0,1
0.585,0.55,11,-7.342,0.0255,0.408,3.97e-05,0.115,0.839,78.176,4,3AK75yY57gkBbSPOqzn6GW,All Your'n,1,0
0.722,0.741,1,-3.72,0.19,0.249,0.0,0.151,0.46,162.11,4,3EtyEzMpfKSaoVhPunvbRV,Leave Me Alone,1,0
0.696,0.447,1,-9.36,0.341,0.12,0.0,0.701,0.11,94.026,4,6MHwMfBCNVCE49tBAVWNJK,Sun Come Down,0,1
0.869,0.67,11,-5.505,0.215,0.0912,0.0,0.0955,0.49,162.999,4,0QBRshHeQLEThdj2TqxM9n,Slide Around,0,1
0.672,0.598,10,-8.268,0.319,0.773,1.66e-06,0.355,0.466,84.017,4,2Jv5zlZ7iCZP7K1j26izha,5 Year Plan,1,0
0.543,0.753,1,-7.395,0.287,0.227,0.0,0.106,0.183,90.535,4,5LWprrbySabBAMm0aE447a,Roo,1,0
0.64,0.644,5,-5.698,0.37,0.802,0.0,0.101,0.569,85.397,4,01GmGxOPy22EdAZGC0X6q1,We Go High,0,1
0.606,0.655,6,-6.328,0.402,0.139,0.0,0.103,0.696,159.824,4,67xBtV07CC73eFw7z5oCvU,Do You Remember,1,0
0.67,0.57,9,-6.723,0.114,0.0177,2.24e-05,0.0555,0.44,176.029,4,0fQH3I3GoZS1J8m5go7lb8,Best of You,1,0
0.643,0.353,11,-9.405,0.0718,0.524,0.0,0.143,0.263,171.838,4,4u8dybCHRYmvpkYOqfHx0h,First Time,1,0
0.749,0.588,11,-6.149,0.0734,0.3,0.0,0.0957,0.425,86.987,4,0cIZHBaBYJinNPzYLkv49W,Stay There,1,0
0.688,0.637,8,-6.26,0.348,0.0148,0.0,0.174,0.637,70.199,4,2uRjTul8fMFYnDOVYzUJtt,Spotlight (feat. Andy Mineo & Swoope),1,0
0.465,0.204,10,-9.747,0.0318,0.865,0.0,0.0957,0.257,73.636,4,6Pg2d0AVVP63OPF6COHll6,I Am Yours,1,0
0.673,0.503,0,-6.67,0.169,0.411,0.0,0.319,0.328,91.011,4,2SPqhlmGmYCM4oU4HGCnsx,She'd Say (with Ladysmith Black Mambazo),1,0
0.641,0.537,0,-5.452,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864,4,5A3fPy30SN2wuzrahpcxvV,"Don't Give Up On Me - (From ""Five Feet Apart"")",0,1
0.501,0.537,1,-7.405,0.142,0.0691,0.0,0.125,0.151,135.944,4,3Cn324qhZyTLKGgPeYPccP,Some Girl,0,1
0.728,0.701,1,-6.58,0.0406,0.0945,2.08e-05,0.181,0.413,137.97,4,3CAqTfkRgmImhxYDjyL6S7,I Found You,1,0
0.405,0.437,7,-6.996,0.0517,0.141,0.0,0.393,0.248,184.232,3,0KednpCIKKLMC17fcW80cN,My Own Hero,1,0
0.554,0.811,11,-6.397,0.0305,0.0014,0.0167,0.134,0.435,92.032,4,6beIOnfgv0HYyrHWv4AfgG,Soothsayer,0,1
0.495,0.546,11,-8.878,0.0422,0.0182,5.26e-06,0.067,0.205,90.067,4,3AF6JW5zzVmSkQWIKMVYqh,Stuck In Gravity,1,0
0.453,0.17,1,-13.082,0.0319,0.92,0.0,0.094,0.175,80.814,4,4HJf5RWQVUGxTViTQciKYr,Waiting For The Snow,1,0
0.533,0.697,8,-7.655,0.057,0.0123,0.000333,0.0999,0.396,168.153,4,24eQ0KNvk3JVnmfvTOhCdF,Ahay,1,0
0.514,0.443,5,-6.607,0.0357,0.161,4.28e-05,0.129,0.503,91.084,4,5s2coZZQHU7IN6ErpXFula,Right Where You Should Be (feat. Ashe & Louis Futon),1,0
0.876,0.375,4,-9.341,0.259,0.478,0.0,0.106,0.325,113.909,4,7hV7333ajQNI1J6R5C9A8c,Good Thing Go,1,0
0.711,0.673,8,-6.305,0.32,0.055,0.0,0.064,0.673,177.016,4,1yTJYoSpt2E5h9QltN1ndw,Sad Still,1,0
0.556,0.589,11,-5.722,0.313,0.0568,0.0,0.0713,0.564,96.026,4,5HlvBXlKNNorFbp43PEQ5B,Abel & Cain,0,1
0.817,0.355,9,-7.625,0.0459,0.307,1.29e-05,0.0981,0.551,76.983,4,2riezZC8Rzk86sqZPZ8qXv,When I Die,1,0
0.711,0.431,4,-8.572,0.0889,0.457,1.75e-05,0.223,0.297,85.996,4,1vSPbQYmKfDXPOUEz4ENf7,Matches,1,0
0.729,0.57,10,-7.047,0.0554,0.388,0.0,0.111,0.687,93.125,4,3a1Zmq0P1E6W80x8EOcVNP,Tough (feat. Noah Kahan),1,0
0.694,0.557,8,-6.686,0.396,0.0403,0.0,0.0832,0.684,161.887,4,5foPGlyY3O4uSrFGhfUKGW,Werewolf (feat. Yoshi Flower),1,0
0.605,0.73,4,-7.871,0.0425,0.087,0.00269,0.187,0.263,130.025,4,6SL7KzIA96f0HiKjuv7tED,U & Us,1,0
0.715,0.551,10,-6.486,0.0961,0.126,0.0,0.314,0.528,90.924,4,3vmsnZF4KPLjbDgZEqwTdL,Life Must Go On,1,0
0.811,0.621,9,-6.957,0.0916,0.194,0.0,0.128,0.899,94.992,4,5yU3w1RzMZpSWytWAU9iyN,Autopilot,1,0
0.67,0.451,3,-9.59,0.113,0.452,3.04e-05,0.119,0.398,155.98,4,5lEBksW3vntnNLDr2f5QUv,Holding Hands (feat. Elohim),1,0
0.838,0.546,5,-6.811,0.295,0.153,0.0,0.0656,0.745,137.027,4,51LIqkda3pTeECZUhMnool,Straightjacket,0,1
0.555,0.931,8,-2.969,0.0367,0.016,0.0,0.405,0.723,132.085,4,2TR7A4ulH9R1PNwMyd8o8U,This Is How We Roll,1,0
0.805,0.776,1,-6.006,0.139,0.000159,0.0,0.0502,0.172,146.997,4,0oVxGuRMnawFgA8aduocfc,Forever,1,0
0.363,0.804,4,-6.947,0.0533,0.139,0.0,0.0716,0.567,176.293,4,2O0la1SWm7h0LIckYDTo5x,Mississippi,1,0
0.726,0.731,1,-6.304,0.159,0.11,3.21e-06,0.0928,0.43,170.125,4,5d1rmWWF1725tnYjq6rMDB,Way To Break My Heart (feat. Skrillex),0,1
